Unnamed: 0,Reactants,Products,Reagents,Labels,Frequency,Split,Mask
4132,Cl[c:1]1[n:2][c:3]([Cl:4])[c:5]2[c:6]([c:7]1[F:8])[C:9]([CH3:10])([CH3:11])[N:12]([CH2:13][c:14]1[cH:15][cH:16][c:17]([O:18][CH3:19])[cH:20][c:21]1[O:22][CH3:23])[C:24]2=[O:25].[CH3:26][C:27]([CH3:28])([CH3:29])[O:30][C:31](=[O:32])[NH:33][C@H:34]1[CH2:35][CH2:36][CH2:37][CH2:38][C@H:39]1[NH2:40],[c:1]1([NH:40][C@H:39]2[C@@H:34]([NH:33][C:31]([O:30][C:27]([CH3:26])([CH3:28])[CH3:29])=[O:32])[CH2:35][CH2:36][CH2:37][CH2:38]2)[n:2][c:3]([Cl:4])[c:5]2[c:6]([c:7]1[F:8])[C:9]([CH3:10])([CH3:11])[N:12]([CH2:13][c:14]1[cH:15][cH:16][c:17]([O:18][CH3:19])[cH:20][c:21]1[O:22][CH3:23])[C:24]2=[O:25],,"[('b', 1, 545)]",1916,test,1
4133,O=[C:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9]1)[N:10]1[CH2:11][CH2:12][CH:13]([CH2:14][CH2:15][NH2:16])[CH2:17][CH2:18]1,[CH2:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9]1)[N:10]1[CH2:11][CH2:12][CH:13]([CH2:14][CH2:15][NH2:16])[CH2:17][CH2:18]1,,"[('a', 0, 120)]",433,test,1
4134,[O:6]=[C:7]([OH:8])[c:9]1[cH:10][c:11]([Cl:12])[c:13]([Cl:14])[n:15][c:16]1[Cl:17].O[C:1]([CH2:2][CH3:3])([CH3:4])[CH3:5],[C:1]([CH2:2][CH3:3])([CH3:4])([CH3:5])[O:8][C:7](=[O:6])[c:9]1[cH:10][c:11]([Cl:12])[c:13]([Cl:14])[n:15][c:16]1[Cl:17],,"[('b', 9, 539)]",804,test,1
4135,Br[c:1]1[cH:2][c:3]([F:4])[c:5]([O:6][c:7]2[cH:8][cH:9][c:10]([C:11]#[N:12])[c:13]([Cl:14])[cH:15]2)[c:16]([C:17]#[N:18])[cH:19]1.[SH:20][CH2:21][c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1,[c:1]1([S:20][CH2:21][c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[cH:2][c:3]([F:4])[c:5]([O:6][c:7]2[cH:8][cH:9][c:10]([C:11]#[N:12])[c:13]([Cl:14])[cH:15]2)[c:16]([C:17]#[N:18])[cH:19]1,,"[('b', 1, 465)]",41,test,1
4136,C[O:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[n:10][c:11]([C@H:12]3[CH2:13][CH2:14][CH2:15][CH2:16][N:17]3[C:18](=[O:19])[CH2:20][O:21][c:22]3[cH:23][cH:24][cH:25][cH:26][cH:27]3)[cH:28][s:29]2)[cH:30]1,[OH:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[n:10][c:11]([C@H:12]3[CH2:13][CH2:14][CH2:15][CH2:16][N:17]3[C:18](=[O:19])[CH2:20][O:21][c:22]3[cH:23][cH:24][cH:25][cH:26][cH:27]3)[cH:28][s:29]2)[cH:30]1,,"[('a', 0, 124)]",1797,test,1
4137,[CH3:5][O:6][c:7]1[cH:8][c:9]([Cl:10])[cH:11][c:12]([CH2:13][OH:14])[cH:15]1.Cl[S:1]([CH3:2])(=[O:3])=[O:4],[S:1]([CH3:2])(=[O:3])(=[O:4])[O:14][CH2:13][c:12]1[cH:11][c:9]([Cl:10])[cH:8][c:7]([O:6][CH3:5])[cH:15]1,,"[('b', 7, 527)]",366,test,1
4138,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][N:4]([C:5](=[O:6])[c:7]2[cH:8][cH:9][c:10]([NH2:11])[c:12]([Cl:13])[cH:14]2)[CH2:15][CH2:16]1,[NH:1]1[CH2:2][CH2:3][N:4]([C:5](=[O:6])[c:7]2[cH:8][cH:9][c:10]([NH2:11])[c:12]([Cl:13])[cH:14]2)[CH2:15][CH2:16]1,,"[('a', 0, 123)]",1493,test,1
4139,C[O:1][C:2](=[O:3])[CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][CH2:9][CH2:10][C@H:11]1[CH2:12][O:13][c:14]1[cH:15][cH:16][c:17]([O:18][c:19]2[cH:20][cH:21][c:22]([Cl:23])[cH:24][cH:25]2)[cH:26][cH:27]1,[OH:1][C:2](=[O:3])[CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][CH2:9][CH2:10][C@H:11]1[CH2:12][O:13][c:14]1[cH:15][cH:16][c:17]([O:18][c:19]2[cH:20][cH:21][c:22]([Cl:23])[cH:24][cH:25]2)[cH:26][cH:27]1,,"[('a', 0, 124)]",1797,test,1
4140,Cl[c:1]1[n:2][cH:3][c:4]([C:5]([O:6][CH2:7][CH3:8])=[O:9])[cH:10][c:11]1[C:12]#[N:13].[Zn+][CH2:14][CH:15]([CH3:16])[CH3:17],[c:1]1([CH2:14][CH:15]([CH3:16])[CH3:17])[n:2][cH:3][c:4]([C:5]([O:6][CH2:7][CH3:8])=[O:9])[cH:10][c:11]1[C:12]#[N:13],,"[('b', 0, 366)]",9,test,1
4141,Cl[S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8]([Br:9])[cH:10]1.[NH2:11][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1,[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][cH:7][c:8]([Br:9])[cH:10]1)[NH:11][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1,,"[('b', 19, 540)]",828,test,1
4142,Cl[C:1]([N:2]1[C:3]([c:4]2[c:5]([O:6][CH2:7][CH3:8])[cH:9][c:10]([O:11][CH3:12])[c:13]([S:14](=[O:15])(=[O:16])[N:17]3[CH2:18][CH2:19][CH2:20][CH2:21]3)[cH:22]2)=[N:23][C:24]([CH3:25])([c:26]2[cH:27][cH:28][c:29]([Cl:30])[cH:31][cH:32]2)[C:33]1([CH3:34])[c:35]1[cH:36][cH:37][c:38]([Cl:39])[cH:40][cH:41]1)=[O:42].[CH3:43][S:44](=[O:45])(=[O:46])[CH2:47][CH2:48][CH2:49][N:50]1[CH2:51][CH2:52][NH:53][CH2:54][CH2:55]1,[C:1]([N:2]1[C:3]([c:4]2[c:5]([O:6][CH2:7][CH3:8])[cH:9][c:10]([O:11][CH3:12])[c:13]([S:14](=[O:15])(=[O:16])[N:17]3[CH2:18][CH2:19][CH2:20][CH2:21]3)[cH:22]2)=[N:23][C@@:24]([CH3:25])([c:26]2[cH:27][cH:28][c:29]([Cl:30])[cH:31][cH:32]2)[C@@:33]1([CH3:34])[c:35]1[cH:36][cH:37][c:38]([Cl:39])[cH:40][cH:41]1)(=[O:42])[N:53]1[CH2:52][CH2:51][N:50]([CH2:49][CH2:48][CH2:47][S:44]([CH3:43])(=[O:45])=[O:46])[CH2:55][CH2:54]1,,"[('b', 83, 546)]",2537,test,1
4143,[CH3:11][c:12]1[cH:13][c:14]([CH2:15][C:16](=[O:17])[NH:18][c:19]2[cH:20][cH:21][c:22]([Cl:23])[c:24]([C:25]([F:26])([F:27])[F:28])[cH:29]2)[cH:30][cH:31][c:32]1[OH:33].Cl[c:1]1[cH:2][c:3]([C:4]([NH:5][CH3:6])=[O:7])[n:8][cH:9][cH:10]1,[c:1]1([O:33][c:32]2[c:12]([CH3:11])[cH:13][c:14]([CH2:15][C:16](=[O:17])[NH:18][c:19]3[cH:20][cH:21][c:22]([Cl:23])[c:24]([C:25]([F:26])([F:27])[F:28])[cH:29]3)[cH:30][cH:31]2)[cH:2][c:3]([C:4]([NH:5][CH3:6])=[O:7])[n:8][cH:9][cH:10]1,,"[('b', 1, 533)]",452,test,1
4144,Br[c:1]1[cH:2][cH:3][c:4]([NH2:5])[c:6]2[c:7]1[CH2:8][NH:9][C:10]2=[O:11],[cH:1]1[cH:2][cH:3][c:4]([NH2:5])[c:6]2[c:7]1[CH2:8][NH:9][C:10]2=[O:11],,"[('a', 0, 99)]",33,test,1
4145,Cl[S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1.[O:10]=[C:11]1[CH2:12][CH2:13][CH:14]([CH2:15][OH:16])[NH:17]1,[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[O:16][CH2:15][CH:14]1[CH2:13][CH2:12][C:11](=[O:10])[NH:17]1,,"[('b', 17, 527)]",366,test,1
4146,O=[CH:1][c:2]1[cH:3][cH:4][c:5]([C:6]([NH:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH3:19])=[O:20])[cH:21][cH:22]1.[CH3:23][CH2:24][CH2:25][CH2:26][c:27]1[o:28][c:29]2[cH:30][cH:31][cH:32][cH:33][c:34]2[c:35]1[CH2:36][NH2:37],[CH2:1]([c:2]1[cH:3][cH:4][c:5]([C:6]([NH:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH3:19])=[O:20])[cH:21][cH:22]1)[NH:37][CH2:36][c:35]1[c:27]([CH2:26][CH2:25][CH2:24][CH3:23])[o:28][c:29]2[cH:30][cH:31][cH:32][cH:33][c:34]21,,"[('b', 43, 544)]",1299,test,1
4147,[NH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1[N:18]1[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]1.Cl[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([N+:7](=[O:8])[O-:9])[o:10]1,[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([N+:7](=[O:8])[O-:9])[o:10]1)[NH:11][c:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1[N:18]1[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]1,,"[('b', 19, 546)]",2537,test,1
4148,O[CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][O:7][c:8]1[c:9]([O:10][CH3:11])[cH:12][c:13](-[c:14]2[n:15][c:16]3[cH:17][cH:18][cH:19][cH:20][c:21]3[s:22]2)[cH:23][c:24]1[O:25][CH3:26].[CH2:27]=[C:28]([CH3:29])[C:30](=[O:31])[OH:32],[CH2:1]([CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][O:7][c:8]1[c:9]([O:10][CH3:11])[cH:12][c:13](-[c:14]2[n:15][c:16]3[cH:17][cH:18][cH:19][cH:20][c:21]3[s:22]2)[cH:23][c:24]1[O:25][CH3:26])[O:32][C:30]([C:28](=[CH2:27])[CH3:29])=[O:31],,"[('b', 51, 539)]",804,test,1
4149,C[O:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[c:10](=[O:11])[c:12]1[c:13]([CH3:14])[n:15][n:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][n:22]3)[c:23]1[nH:24]2,[OH:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[c:10](=[O:11])[c:12]1[c:13]([CH3:14])[n:15][n:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][n:22]3)[c:23]1[nH:24]2,,"[('a', 0, 124)]",1797,test,1
4150,O[C:1]([C@@H:2]([NH:3][C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[CH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)=[O:18].[O:19]=[C:20]1[NH:21][N:22]=[C:23]2[c:24]3[c:25]([nH:26][c:27]4[cH:28][cH:29][cH:30][c:31]1[c:32]34)[CH2:33][NH:34][CH2:35]2,[C:1]([C@@H:2]([NH:3][C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[CH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)(=[O:18])[N:34]1[CH2:33][c:25]2[c:24]3[c:32]4[c:27]([nH:26]2)[cH:28][cH:29][cH:30][c:31]4[C:20](=[O:19])[NH:21][N:22]=[C:23]3[CH2:35]1,,"[('b', 35, 547)]",4537,test,1
4151,[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([CH2:7][C:8]#[N:9])[CH2:10][CH2:11]1,[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([CH2:7][CH2:8][NH2:9])[CH2:10][CH2:11]1,,"[('b', 14, 515), ('b', 15, 515)]",179,test,1
4152,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[s:11][cH:12][n:13][c:14]1[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][C:21](=[O:22])[O:23][CH3:24],[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH:6]([OH:7])/[CH:8]=[CH:9]/[c:10]1[s:11][cH:12][n:13][c:14]1[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][C:21](=[O:22])[O:23][CH3:24],,"[('b', 10, 537), ('b', 11, 537)]",573,test,1
4153,[CH3:6][S:7][CH2:8][C@@:9]1([CH3:10])[CH2:11][C@H:12]([c:13]2[cH:14][cH:15][cH:16][c:17]([Cl:18])[cH:19]2)[C@@H:20]([c:21]2[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]2)[NH:28][C:29]1=[O:30].Br[CH:1]([CH2:2][CH3:3])[CH2:4][CH3:5],[CH:1]([CH2:2][CH3:3])([CH2:4][CH3:5])[N:28]1[C@H:20]([c:21]2[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]2)[C@@H:12]([c:13]2[cH:14][cH:15][cH:16][c:17]([Cl:18])[cH:19]2)[CH2:11][C@@:9]([CH2:8][S:7][CH3:6])([CH3:10])[C:29]1=[O:30],,"[('b', 9, 543)]",955,test,1
4154,O=[C:1]([CH3:2])[CH2:3][c:4]1[cH:5][cH:6][c:7]([Cl:8])[n:9][cH:10]1.[CH2:11]1[CH2:12][O:13][CH2:14][CH2:15][NH:16]1,[CH:1]([CH3:2])([CH2:3][c:4]1[cH:5][cH:6][c:7]([Cl:8])[n:9][cH:10]1)[N:16]1[CH2:11][CH2:12][O:13][CH2:14][CH2:15]1,,"[('b', 19, 544)]",1299,test,1
4155,C[O:1][C:2](=[O:3])/[CH:4]=[CH:5]/[C@H:6]([CH2:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[NH:15][C:16](=[O:17])[C@H:18]([CH2:19][c:20]1[cH:21][cH:22][cH:23][s:24]1)[NH:25][C:26](=[O:27])[O:28][C:29]([CH3:30])([CH3:31])[CH3:32],[OH:1][C:2](=[O:3])/[CH:4]=[CH:5]/[C@H:6]([CH2:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[NH:15][C:16](=[O:17])[C@H:18]([CH2:19][c:20]1[cH:21][cH:22][cH:23][s:24]1)[NH:25][C:26](=[O:27])[O:28][C:29]([CH3:30])([CH3:31])[CH3:32],,"[('a', 0, 124)]",1797,test,1
4156,Br[c:1]1[cH:2][n:3][c:4]([N:5]([CH3:6])[CH3:7])[n:8][cH:9]1.[CH3:10][N:11]([CH3:12])[c:13]1[cH:14][cH:15][c:16]([NH2:17])[cH:18][cH:19]1,[c:1]1([NH:17][c:16]2[cH:15][cH:14][c:13]([N:11]([CH3:10])[CH3:12])[cH:19][cH:18]2)[cH:2][n:3][c:4]([N:5]([CH3:6])[CH3:7])[n:8][cH:9]1,,"[('b', 1, 535)]",553,test,1
4157,O=[N+:1]([O-])[c:2]1[c:3]([CH3:4])[cH:5][c:6]([Br:7])[c:8]([C:9]#[N:10])[cH:11]1,[NH2:1][c:2]1[c:3]([CH3:4])[cH:5][c:6]([Br:7])[c:8]([C:9]#[N:10])[cH:11]1,,"[('a', 0, 122)]",1277,test,1
4158,[CH3:9][CH2:10][O:11][C:12](=[O:13])/[CH:14]=[CH:15]/[c:16]1[cH:17][cH:18][c:19]([NH:20][C@@H:21]2[CH2:22][CH2:23][CH2:24][NH:25][CH2:26]2)[n:27][cH:28]1.O[C:1](=[O:2])[CH:3]1[CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]1,[C:1](=[O:2])([CH:3]1[CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]1)[N:25]1[CH2:24][CH2:23][CH2:22][C@@H:21]([NH:20][c:19]2[cH:18][cH:17][c:16](/[CH:15]=[CH:14]/[C:12]([O:11][CH2:10][CH3:9])=[O:13])[cH:28][n:27]2)[CH2:26]1,,"[('b', 15, 547)]",4537,test,1
4159,[O:13]=[c:14]1[nH:15][n:16][cH:17][c:18]2[cH:19][c:20](-[c:21]3[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]3)[s:28][c:29]12.Br[c:1]1[cH:2][cH:3][c:4]([N:5]2[CH2:6][CH2:7][C@@H:8]([OH:9])[CH2:10]2)[cH:11][n:12]1,[c:1]1(-[n:15]2[c:14](=[O:13])[c:29]3[c:18]([cH:17][n:16]2)[cH:19][c:20](-[c:21]2[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]2)[s:28]3)[cH:2][cH:3][c:4]([N:5]2[CH2:6][CH2:7][C@@H:8]([OH:9])[CH2:10]2)[cH:11][n:12]1,,"[('b', 1, 496)]",86,test,1
4160,[CH3:9][C:10](=[O:11])[NH:12][CH2:13][C@H:14]1[CH2:15][N:16]([c:17]2[cH:18][cH:19][c:20]3[c:21]([cH:22]2)[CH2:23][CH2:24][CH2:25][CH2:26][C:27]3=[O:28])[C:29](=[O:30])[O:31]1.O=[CH:1][c:2]1[cH:3][cH:4][c:5]([F:6])[cH:7][cH:8]1,[CH:1]([c:2]1[cH:3][cH:4][c:5]([F:6])[cH:7][cH:8]1)=[C:26]1[CH2:25][CH2:24][CH2:23][c:21]2[c:20]([cH:19][cH:18][c:17]([N:16]3[CH2:15][C@H:14]([CH2:13][NH:12][C:10]([CH3:9])=[O:11])[O:31][C:29]3=[O:30])[cH:22]2)[C:27]1=[O:28],,"[('b', 15, 520)]",264,test,1
4161,Br[c:1]1[c:2]([CH3:3])[c:4]([C:5]([c:6]2[cH:7][cH:8][c:9]3[nH:10][c:11](=[O:12])[n:13]([CH2:14][C:15]([O:16][CH3:17])=[O:18])[c:19](=[O:20])[c:21]3[cH:22]2)=[O:23])[n:24]2[c:25]1[cH:26][cH:27][cH:28][cH:29]2.CC1(C)OB([c:30]2[cH:31][cH:32][c:33]([O:34][CH2:35][C:36]([O:37][C:38]([CH3:39])([CH3:40])[CH3:41])=[O:42])[cH:43][cH:44]2)OC1(C)C,[c:1]1(-[c:30]2[cH:31][cH:32][c:33]([O:34][CH2:35][C:36]([O:37][C:38]([CH3:39])([CH3:40])[CH3:41])=[O:42])[cH:43][cH:44]2)[c:2]([CH3:3])[c:4]([C:5]([c:6]2[cH:7][cH:8][c:9]3[nH:10][c:11](=[O:12])[n:13]([CH2:14][C:15]([O:16][CH3:17])=[O:18])[c:19](=[O:20])[c:21]3[cH:22]2)=[O:23])[n:24]2[c:25]1[cH:26][cH:27][cH:28][cH:29]2,,"[('b', 0, 532)]",452,test,1
4162,CC(C)(C)[Si](C)(C)[O:1][CH:2]([CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]([C:9]([CH2:10][CH3:11])([CH2:12][CH3:13])[c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][c:21]([CH:22]([OH:23])[C:24](=[O:25])[O:26][CH3:27])[cH:28][cH:29]3)[c:30]([CH3:31])[cH:32]2)[cH:33][c:34]1[CH3:35])[C:36]([CH3:37])([CH3:38])[CH3:39],[OH:1][CH:2]([CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]([C:9]([CH2:10][CH3:11])([CH2:12][CH3:13])[c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][c:21]([CH:22]([OH:23])[C:24](=[O:25])[O:26][CH3:27])[cH:28][cH:29]3)[c:30]([CH3:31])[cH:32]2)[cH:33][c:34]1[CH3:35])[C:36]([CH3:37])([CH3:38])[CH3:39],,"[('a', 0, 113)]",169,test,1
4163,C[O:1][C:2](=[O:3])[CH2:4][c:5]1[cH:6][c:7]([O:8][CH2:9][CH2:10][CH2:11][N:12]([CH2:13][c:14]2[cH:15][cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[c:23]2[Cl:24])[CH2:25][CH:26]([c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[c:33]2[cH:34][cH:35][cH:36][cH:37][cH:38]2)[cH:39][cH:40][c:41]1[Br:42],[OH:1][C:2](=[O:3])[CH2:4][c:5]1[cH:6][c:7]([O:8][CH2:9][CH2:10][CH2:11][N:12]([CH2:13][c:14]2[cH:15][cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[c:23]2[Cl:24])[CH2:25][CH:26]([c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[c:33]2[cH:34][cH:35][cH:36][cH:37][cH:38]2)[cH:39][cH:40][c:41]1[Br:42],,"[('a', 0, 124)]",1797,test,1
4164,CCO[C:1](=[O:2])[c:3]1[cH:4][n:5][c:6]([NH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[n:14][cH:15]1,[CH2:1]([OH:2])[c:3]1[cH:4][n:5][c:6]([NH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[n:14][cH:15]1,,"[('a', 0, 115)]",196,test,1
4165,CO[C:1](=[O:2])[c:3]1[cH:4][n:5][c:6]([N:7]2[CH2:8][CH2:9][N:10]([S:11](=[O:12])(=[O:13])[c:14]3[cH:15][cH:16][cH:17][s:18]3)[CH2:19][CH2:20]2)[s:21]1.[NH2:22][OH:23],[C:1](=[O:2])([c:3]1[cH:4][n:5][c:6]([N:7]2[CH2:8][CH2:9][N:10]([S:11](=[O:12])(=[O:13])[c:14]3[cH:15][cH:16][cH:17][s:18]3)[CH2:19][CH2:20]2)[s:21]1)[NH:22][OH:23],,"[('b', 41, 522)]",271,test,1
4166,[CH3:4][O:5][C:6](=[O:7])[c:8]1[cH:9][cH:10][c:11]([N+:12](=[O:13])[O-:14])[c:15]([OH:16])[cH:17]1.Br[CH2:1][CH:2]=[CH2:3],[CH2:1]([CH:2]=[CH2:3])[O:16][c:15]1[c:11]([N+:12](=[O:13])[O-:14])[cH:10][cH:9][c:8]([C:6]([O:5][CH3:4])=[O:7])[cH:17]1,,"[('b', 5, 542)]",924,test,1
4167,[O:2]=[C:3]1[CH2:4][N:5]([CH:6]([c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19]1.C[S+](C)(=O)[CH3:1],[CH2:1]1[O:2][C:3]12[CH2:4][N:5]([CH:6]([c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[CH2:19]2,,"[('b', 1, 335), ('b', 36, 335)]",7,test,1
4168,F[c:1]1[cH:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][cH:9]1.[CH3:10][CH2:11][N:12]([CH2:13][CH3:14])[CH2:15][CH2:16][OH:17],[c:1]1([O:17][CH2:16][CH2:15][N:12]([CH2:11][CH3:10])[CH2:13][CH3:14])[cH:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][cH:9]1,,"[('b', 1, 517)]",235,test,1
4169,O=[N+:1]([O-])[c:2]1[cH:3][c:4]2[cH:5][c:6]([C:7]([O:8][CH2:9][CH3:10])=[O:11])[s:12][c:13]2[cH:14][cH:15]1,[NH2:1][c:2]1[cH:3][c:4]2[cH:5][c:6]([C:7]([O:8][CH2:9][CH3:10])=[O:11])[s:12][c:13]2[cH:14][cH:15]1,,"[('a', 0, 122)]",1277,test,1
4170,[CH3:4][O:5][c:6]1[cH:7][cH:8][c:9]([O:10][CH2:11][CH2:12][O:13][CH:14]2[CH2:15][CH2:16][CH2:17][CH2:18][O:19]2)[c:20]([CH2:21][NH:22][c:23]2[cH:24][c:25]([F:26])[cH:27][cH:28][c:29]2[O:30][c:31]2[cH:32][cH:33][cH:34][cH:35][cH:36]2)[cH:37]1.CC(=O)O[C:2]([CH3:1])=[O:3],[CH3:1][C:2](=[O:3])[N:22]([CH2:21][c:20]1[c:9]([O:10][CH2:11][CH2:12][O:13][CH:14]2[CH2:15][CH2:16][CH2:17][CH2:18][O:19]2)[cH:8][cH:7][c:6]([O:5][CH3:4])[cH:37]1)[c:23]1[cH:24][c:25]([F:26])[cH:27][cH:28][c:29]1[O:30][c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1,,"[('b', 5, 514)]",174,test,1
4171,O[C:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH2:7][c:8]2[c:9]([CH3:10])[o:11][n:12][c:13]2-[c:14]2[cH:15][cH:16][n:17][cH:18][n:19]2)[n:20][cH:21]1)=[O:22].[CH3:23][CH:24]([CH3:25])[NH2:26],[C:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH2:7][c:8]2[c:9]([CH3:10])[o:11][n:12][c:13]2-[c:14]2[cH:15][cH:16][n:17][cH:18][n:19]2)[n:20][cH:21]1)(=[O:22])[NH:26][CH:24]([CH3:23])[CH3:25],,"[('b', 43, 547)]",4537,test,1
4172,CO[C:1](=[O:2])[CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]([C:9](=[C:10]2[CH2:11][C:12]([CH3:13])([CH3:14])[CH2:15][C:16]([CH3:17])([CH3:18])[CH2:19]2)[c:20]2[cH:21][cH:22][c:23]([OH:24])[cH:25][cH:26]2)[cH:27][cH:28]1,[CH2:1]([OH:2])[CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]([C:9](=[C:10]2[CH2:11][C:12]([CH3:13])([CH3:14])[CH2:15][C:16]([CH3:17])([CH3:18])[CH2:19]2)[c:20]2[cH:21][cH:22][c:23]([OH:24])[cH:25][cH:26]2)[cH:27][cH:28]1,,"[('a', 0, 117)]",228,test,1
4173,COc1ccc(C[N:1]2[CH2:2][C@@H:3]([C:4]([CH3:5])([CH3:6])[S:7](=[O:8])(=[O:9])[c:10]3[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]3)[CH2:20][C:21]2=[O:22])cc1,[NH:1]1[CH2:2][C@@H:3]([C:4]([CH3:5])([CH3:6])[S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]2)[CH2:20][C:21]1=[O:22],,"[('a', 0, 97)]",27,test,1
4174,O=[N+:1]([O-])[c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7](-[n:8]2[cH:9][n:10][c:11]([CH2:12][OH:13])[cH:14]2)[cH:15][cH:16]1,[NH2:1][c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7](-[n:8]2[cH:9][n:10][c:11]([CH2:12][OH:13])[cH:14]2)[cH:15][cH:16]1,,"[('a', 0, 122)]",1277,test,1
